Country Code,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
BOL,2.40722990036011,6.081648039817814,2.13776993751526,2.02002000808716,1.09740996360779,0.643610000610352,0.376089990139008,0.23589999973774,3.80753993988037,4.45645999908447,6.00062990188599,6.130881524085979,3.93954992294312,7.58859014511108,5.388601326942444,12.1483001708984,5.694234704971312,13.6129598617554,13.6554498672485,7.41239976882935,12.3030595779419,11.1914300918579,7.39885997772217
CUB,3.36546993255615,0.621559977531433,5.62558794021607,0.728820025920868,5.350330018997186,2.01830005645752,2.97919988632202,2.74586009979248,4.76989984512329,3.73639988899231,5.438193392753608,6.491311478614799,5.65537977218628,5.04165983200073,5.59558010101318,4.40488004684448,3.90488004684448,3.67641997337341,5.53000020980835,7.09507989883423,7.49992904663087,7.63144016265869,7.04622983932495
HIC,4.0,3.0,4.0,4.237625968456269,4.0,3.0,3.0,4.0307639747858035,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.49992904663087,2.0,2.0
KAZ,2.41014003753662,2.51233005523682,2.78170990943909,2.17928004264832,1.92592000961304,4.169808006286621,1.74094998836517,1.76807999610901,1.74399995803833,5.533107995986938,0.954127192497253,0.517497181892395,1.08237111568451,0.322824358940125,1.2618066072464,0.905872464179993,2.04502367973328,1.49482905864716,2.02315926551819,6.39481992721557,2.33117532730103,2.10119342803955,1.79020774364471
LAO,30.3895206451416,27.8966197967529,17.84017601013184,17.856006336212154,17.18100395202636,24.1651000976562,24.3319892883301,22.0549697875977,20.8349800109863,26.2071094512939,26.6636981964111,25.5945796966553,24.6827278137207,21.298547744751,20.0735473632812,23.9508361816406,22.7857646942139,25.499174118042,27.8663177490234,30.4329319000244,31.808313369751,34.4528350830078,35.1520538330078
LIC,51.0,49.0,46.0,44.0,42.0,41.0,17.8525037765503,16.771633911132817,37.0,36.0,16.282053565978995,35.0,35.0,35.0,35.0,17.184185409545876,11.529684925079357,37.0,37.0,37.0,38.0,38.0,38.0
LMC,35.0,32.0,10.040176010131841,27.0000019073486,9.000485944747918,24.0,23.0,21.0,12.400251960754389,19.0,19.0,18.0,18.0,17.0,17.0,17.0,11.529684925079357,16.0,16.0,16.0,16.0,17.738072490692144,15.0000009536743
LSO,21.6838302612305,18.77488193511963,17.0389003753662,9.201770341396326,12.5443496704102,15.802388000488278,16.1749897003174,14.909839630127,12.400251960754389,13.2283601760864,14.0608100891113,15.2636699676514,13.498615550994884,12.373327445983897,16.9989318847656,19.38157081604,11.529684925079357,19.0307388305664,15.534589481353745,23.5562896728516,26.1695518493652,27.7249622344971,28.8428173065186
MAC,9.63045024871826,9.70343971252441,10.3327398300171,4.237625968456269,11.7283201217651,12.6766700744629,13.1720695495605,13.8354501724243,14.6395196914673,14.6672897338867,12.1758499145508,12.0720500946045,6.493145942688,7.27406978607178,9.05426025390625,9.93599987030029,10.4365100860596,8.253846120834362,12.2028999328613,12.126669883728,12.4753103256226,10.3734903335571,9.76646995544434
MYS,5.8372597694397,8.92990970611572,3.6207799911499,4.237625968456269,11.6323499679565,10.1701698303223,12.5834703445435,12.0579099655151,10.809100151062,9.67601013183594,9.50990962982178,10.2699003219604,10.1423902511597,7.239667892456059,8.536026382446284,15.6525201797485,15.5212697982788,16.979850769043,16.9581298828125,17.2145690917969,14.8329401016235,11.0967350006104,8.6877384185791
PSE,17.4371109008789,15.3444404602051,12.208459854126,9.260009765625,7.291616010665878,7.18712997436523,6.70094013214111,7.40397977828979,7.71765995025635,9.47268009185791,11.2362098693848,10.8670101165771,10.7284097671509,10.2940196990967,9.03135967254639,9.428340053558333,7.372531986236576,8.253846120834362,4.64559984207153,4.75234985351562,4.39010000228882,5.04233980178833,5.76845979690552
UMC,7.368634223937986,6.236354041099553,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,4.681142115592961,6.0,5.388601326942444,5.0,5.0,5.0,5.2803318500518746,6.0,6.0,6.0,5.274273467063904
