Country Code,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
BOL,2.40722990036011,3.460482750522832,2.13776993751526,2.02002000808716,1.09740996360779,0.643610000610352,0.376089990139008,0.23589999973774,3.80753993988037,4.45645999908447,6.00062990188599,6.5676761111752295,3.93954992294312,7.588590145111081,8.528840897273202,12.1483001708984,11.142959283969073,13.6129598617554,13.655449867248501,15.678720491965231,12.3030595779419,11.1914300918579,7.39885997772217
CUB,3.36546993255615,0.621559977531433,0.4995131148866679,0.728820025920868,1.3067971580007929,2.01830005645752,2.97919988632202,2.74586009979248,4.76989984512329,3.7363998889923105,3.928138515593895,4.947477105290139,5.65537977218628,5.04165983200073,5.59558010101318,4.40488004684448,3.90488004684448,3.6764199733734104,5.53000020980835,7.09507989883423,7.33039984137509,7.63144016265869,7.046229839324949
HIC,4.0,3.0,4.0,3.0718677319870076,4.0,3.0,3.0,3.0507990502693305,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2205070649499805,2.0,2.0
KAZ,2.41014003753662,2.51233005523682,2.78170990943909,2.17928004264832,1.92592000961304,2.3081119326822055,1.7409499883651702,1.76807999610901,1.74399995803833,1.1576389978494006,0.9541271924972531,0.517497181892395,1.08237111568451,0.322824358940125,1.2618066072464,0.905872464179993,2.04502367973328,1.49482905864716,2.02315926551819,2.390486060252674,2.33117532730103,2.10119342803955,1.7902077436447101
LAO,30.3895206451416,27.8966197967529,29.707157772115966,25.646397894188272,19.744433965796993,24.1651000976562,24.3319892883301,22.0549697875977,20.8349800109863,26.2071094512939,26.663698196411097,25.5945796966553,24.6827278137207,21.298547744751,20.0735473632812,23.9508361816406,22.7857646942139,25.499174118042,27.8663177490234,30.432931900024403,31.808313369750998,34.4528350830078,35.1520538330078
LIC,51.0,49.0,46.0,44.0,42.0,41.0,42.728527322334386,40.19307185042997,37.0,36.0,35.143091455753165,35.0,35.0,35.0,35.0,36.372606013571385,33.475877442570194,37.0,37.0,37.0,38.0,38.0,38.0
LMC,35.0,32.0,31.387477721448555,27.000001907348597,25.847963874042517,24.0,23.0,21.0,19.507737987179347,19.0,19.0,18.0,18.0,17.0,17.0,17.0,15.24091517738465,16.0,16.0,16.0,16.0,16.468176021093555,15.000000953674299
LSO,21.6838302612305,19.23530619547514,17.0389003753662,16.372803252986937,12.5443496704102,15.023285603850216,16.1749897003174,14.909839630127,13.539066588608225,13.228360176086401,14.0608100891113,15.2636699676514,15.910366123989387,18.113409469913414,16.9989318847656,19.38157081604,18.175749586398645,19.0307388305664,21.25915834912027,23.5562896728516,26.1695518493652,27.7249622344971,28.8428173065186
MAC,9.63045024871826,9.70343971252441,10.3327398300171,11.37107687793828,11.7283201217651,12.6766700744629,13.1720695495605,13.835450172424299,14.6395196914673,14.6672897338867,12.1758499145508,12.0720500946045,11.916729427308235,7.27406978607178,9.05426025390625,9.93599987030029,10.4365100860596,11.593372803667226,12.2028999328613,12.126669883728,12.4753103256226,10.3734903335571,9.76646995544434
MYS,5.8372597694397,8.92990970611572,3.6207799911499,9.123630351601324,11.6323499679565,10.1701698303223,12.5834703445435,12.0579099655151,10.809100151062,9.67601013183594,9.50990962982178,10.2699003219604,10.1423902511597,12.957823289121823,14.501157096545189,15.652520179748501,15.5212697982788,16.979850769043,16.9581298828125,17.2145690917969,14.832940101623501,11.0967350006104,8.6877384185791
PSE,17.4371109008789,15.344440460205101,12.208459854126,9.260009765625,11.502449445453404,7.18712997436523,6.700940132141111,7.40397977828979,7.71765995025635,9.47268009185791,11.2362098693848,10.8670101165771,10.7284097671509,10.2940196990967,9.03135967254639,6.552081111502785,3.699639925880575,4.7482105186801435,4.64559984207153,4.75234985351562,4.39010000228882,5.04233980178833,5.76845979690552
UMC,8.94022741499266,7.8241874659602715,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.812213565650633,6.0,6.537554481622055,5.0,5.0,5.0,5.750335298386547,6.0,6.0,6.0,6.148048326372283
