Method,MAE,RMSE,MAPE_%,SMAPE_%
Mean,9.269456804085907,11.703237905872182,198.5479663932797,74.16039793475471
Median,9.307154295579437,12.186649259671533,145.13731729882963,79.07794646360333
Mode,12.159673739716686,16.119578604332876,89.49415838746889,146.27306105014844
Hot-Deck,14.59188498753421,17.25625506375108,409.33545197771684,111.26598717803384
Linear Interpolation,0.6784463097464406,0.8914240972410299,10.693444480667315,9.937364234463066
Multiple Imputation (avg 5),1.4145024085832782,1.9416837233353794,17.052022381266426,15.408651207973021
KNN (k=5),5.752446655338657,8.464702687959013,78.51615876281025,49.937822316776355
