Category;line;OECD_Average
2020;506,31;492,16245
2020.5;502,68085;486,02081
2020.5;484,85501;486,31207
2020.5;505,76483;491,83737
2020.25;502,9855;486,70245
2020.25;485,81848;487,31589
2020.25;506,03741;491,99991
2020.75;502,37622;485,33914
2020.75;483,89154;485,30826
2020.75;505,49225;491,67484
2021;502,07156;484,6575
2021;482,92807;484,30444
2021;505,21967;491,51227
2021.5;501,46228;483,29419
2021.5;481,00113;482,29681
2021.5;504,67447;491,18719
2021.25;501,76694;483,97583
2021.25;481,9646;483,30063
2021.25;504,94708;491,34973
2021.75;501,15765;482,61252
2021.75;480,03766;481,293
2021.75;504,40189;491,02466
2022;500,853;481,93088
2022;479,07419;480,28918
2022;504,1293;490,86212
