Country Name,Country Code,2022,2022_predicted,2022_confidence
"Korea, Dem. People's Rep.",PRK,17.47049,17.47049,0.5
Portugal,PRT,9.51599,9.51599,0.5
Paraguay,PRY,18.4041,18.4041,0.5
West Bank and Gaza,PSE,17.33404,17.33404,0.5
Pacific island small states,PSS,19.25248,19.25248,0.5
Post-demographic dividend,PST,12.57776,12.57776,0.5
French Polynesia,PYF,14.04899,14.04899,0.5
Qatar,QAT,11.04303,11.04303,0.5
Romania,ROU,12.07981,12.07981,0.5
Russian Federation,RUS,8.76378,8.76378,0.5
Rwanda,RWA,28.24773,28.24773,0.5
South Asia,SAS,27.19053,27.19053,0.5
Saudi Arabia,SAU,11.52893,11.52893,0.5
Senegal,SEN,18.88356,18.88356,0.5
Singapore,SGP,11.47558,11.47558,0.5
Solomon Islands,SLB,25.92408,25.92408,0.5
Sierra Leone,SLE,22.04465,22.04465,0.5
El Salvador,SLV,27.55579,27.55579,0.5
San Marino,SMR,5.84099,5.84099,0.5
Somalia,SOM,19.3004,19.3004,0.5
Serbia,SRB,7.946,7.946,0.5
Sub-Saharan Africa (excluding high income),SSA,21.60801,21.60801,0.5
South Sudan,SSD,27.47489,27.47489,0.5
Sub-Saharan Africa,SSF,21.60546,21.60546,0.5
Small states,SST,14.52619,14.52619,0.5
Sao Tome and Principe,STP,24.82051,24.82051,0.5
Suriname,SUR,11.97658,11.97658,0.5
Slovak Republic,SVK,11.06981,11.06981,0.5
Slovenia,SVN,9.69943,9.69943,0.5
Sweden,SWE,13.07043,13.07043,0.5
Eswatini,SWZ,15.54522,15.54522,0.5
Sint Maarten (Dutch part),SXM,7.57821,7.57821,0.5
Seychelles,SYC,10.7789,10.7789,0.5
Syrian Arab Republic,SYR,18.13033,18.13033,0.5
Turks and Caicos Islands,TCA,10.06957,10.06957,0.5
Chad,TCD,27.13412,27.13412,0.5
East Asia & Pacific (IDA & IBRD countries),TEA,14.95966,14.95966,0.5
Europe & Central Asia (IDA & IBRD countries),TEC,10.3459,10.3459,0.5
Togo,TGO,26.24584,26.24584,0.5
Thailand,THA,25.94603,25.94603,0.5
Tajikistan,TJK,15.43893,15.43893,0.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,16.65098,16.65098,0.5
Timor-Leste,TLS,26.54835,26.54835,0.5
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,16.17787,16.17787,0.5
Tonga,TON,14.5488,14.5488,0.5
South Asia (IDA & IBRD),TSA,27.19053,27.19053,0.5
Sub-Saharan Africa (IDA & IBRD countries),TSS,21.60546,21.60546,0.5
Trinidad and Tobago,TTO,20.03655,20.03655,0.5
Tunisia,TUN,13.62495,13.62495,0.5
Turkiye,TUR,17.34797,17.34797,0.5
Tuvalu,TUV,8.64286,8.64286,0.5
Tanzania,TZA,20.86254,20.86254,0.5
Uganda,UGA,18.46583,18.46583,0.5
